"vendor_id","vendor_address","Geohash","permitType",lastCheckup,"vendorName","vendor_id"
"NA","13215 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnvup","Mobile Food","04-20-2023","COA - GBJB'S","22225"
"NA","10901 DOMAIN DR, AUSTIN, TX 78758","9v6sbjnp","Mobile Food","06-05-2024","COA - DOSA LABS","22802", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","03-24-2023","COA - MR. SANDWICH","22129", 
"(917) 757-7341","440 E ST ELMO RD Unit G2, AUSTIN, TX 78745","9v67zkut","Mobile Food","06-11-2024","COA - SPICY BOYS 3","24002", 
"(512) 632-7323","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","02-06-2024","COA - JIM'S SMOKEHOUSE LLC #2","7966", 
"(737) 275-0403","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","05-14-2024","COA - DOSA SHACK","23715", 
"(512) 300-4135","771 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0gww","Mobile Food","08-29-2023","COA - TAQUERIA LA MORENA","20943", 
"(210) 723-7578","325 E 6TH ST, AUSTIN, TX 78701","9v6kpvuj","Mobile Food","03-12-2024","COA - TACO WEY #5","7948", 
"NA","6710 LOYOLA LN, AUSTIN, TX 78724","9v6s65bd","Mobile Food","03-07-2023","COA - MANA'S TACO ","361646", 
"NA","2103 W SLAUGHTER LN, AUSTIN, TX 78748","9v67tuv5","Mobile Food","12-14-2023","COA - TACOS LA FONDITA","23124", 
"(512) 903-7558","8711 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8wp3","Mobile Food","03-28-2024","COA - CORINA Y SU SABOR CATRACHO","23382", 
"NA","13215 RESEARCH BLVD AUSTIN, TX 78750 ","9v6mnyh0","Mobile Food","04-11-2023","CHOWPATTY CHAAT & JUICE","22263", 
"NA","12308 DESSAU RD, AUSTIN, TX 78754","9v6scun9","Mobile Food","06-09-2023","COA - IT'S TOO GOOD 2 BE TRUE FOODS","22282", 
"NA","325 E 6TH ST, AUSTIN, TX 78701","9v6kpvuj","Mobile Food","03-09-2024","COA - TACO WEY #4","7762", 
"(210) 551-9997","2340 W BRAKER LN Unit B, AUSTIN, TX 78758","9v6sbktc","Mobile Food","03-26-2024","COA - NORTE ATX","23459", 
"(512) 400-1260","6303 CAMERON RD, AUSTIN, TX 78723","9v6s2zeg","Mobile Food","08-10-2023","COA - EL VALE DE MICHOACON","22703", 
"NA","11218 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc4f0","Mobile Food","08-03-2023","COA - TACOS AVILES LLC #2","23166", 
"NA","601 W LIVE OAK ST, AUSTIN, TX 78704","9v6kp3yc","Mobile Food","04-27-2023","COA - DEAR DRY DRINKERY","22190", 
"NA","3906 S CONGRESS AVE, AUSTIN, TX 78704","9v67zq47","Mobile Food","05-21-2024","COA - POLLOS ASADOS Y MAS","23890", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT CP312 (TACO FLATS)","8073", 
"NA","2505 WEBBERVILLE RD, AUSTIN, TX 78702","9v6s0mpn","Mobile Food","04-16-2024","COA - KERLACHES","23698", 
"NA","9113 BROWN LN, AUSTIN, TX 78754","9v6s9kt0","Mobile Food","02-08-2024","COA - BUNZ N CHIX","23566", 
"(512) 781-3511","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","02-06-2024","COA - YUCATAN TACOS AND MORE","23296", 
"NA","102 E MOCKINGBIRD LN, AUSTIN, TX 78745","9v67z55f","Mobile Food","08-17-2023","COA - RAMIREZ EL UNICO MEX-TEX CAFE","22716", 
"NA","5903 COOLBROOK DR AUSTIN, TX 78724 ","9v6s3udt","Mobile Food","01-04-2024","COA TAMALES NUEVA ESPERANZA","23260", 
"NA","1603 BARTON SPRINGS RD AUSTIN, TX 78704 ","9v6kpm5c","Mobile Food","03-12-2024","COA - ACENTO","23599", 
"NA","11331 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc4g7","Mobile Food","04-30-2024","COA - LOS PRIMITOS HONDURAS FOOD","23664", 
"(512) 961-2618","753 Montopolis DR , AUSTIN, TX 78741","9v6s0bk5","Mobile Food","04-13-2023","COA - CARNITAS QUERETANAS #3","22203", 
"(512) 806-4880","1805 S AIRPORT BLVD AUSTIN, TX 78702 ","9v6s28wf","Mobile Food","04-30-2024","COA - BUSSIN BUNS 3","23844", 
"NA","4749 E BEN WHITE BLVD SVRD EB, AUSTIN, TX 78744","9v6ebh5p","Mobile Food","09-19-2023","COA - PIZZA LEON","22785", 
"NA","10014 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbtw","Mobile Food","06-27-2023","COA - EL BUEN GUSTO","22492", 
"NA","2008 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp9en","Mobile Food","09-05-2023","COA - WEIRD FOOD","22837", 
"(512) 545-0804","604 DRISKILL ST, AUSTIN, TX 78701","9v6kpuvh","Mobile Food","08-31-2023","COA - YALLA BURGERS AND WINGS #2","22743", 
"NA","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","09-12-2023","COA - ROGERS BOYZ FAMILY BBQ COMPANY LLC","22871", 
"(512) 436-6928","10014 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbtw","Mobile Food","03-26-2024","COA - TAQUERIA GLORIA'S #2","23673", 
"NA","8000 MESA DR, AUSTIN, TX 78731","9v6kz2y6","Mobile Food","02-28-2023","OOB - COA - SISTERS SNO SHACK","22066", 
"NA","408 E RUNDBERG LN, AUSTIN, TX 78753","9v6s9nb5","Mobile Food","06-04-2024","COA -TAQUERIA LA CHILANGUITA","23956", 
"NA","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","06-06-2023","COA - DELICIAS DELUXE LLC","22410", 
"NA","1705 E 6TH ST, AUSTIN, TX 78702","9v6s0jp3","Mobile Food","09-26-2023","COA - SPICY BOYS 5","22900", 
"NA","1320 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp76x","Mobile Food","02-15-2024","COA - WRIGLEYVILLE SOUTH DOGS & BEEF","23559", 
"NA","500 S LAMAR BLVD, AUSTIN, TX 78704","9v6kpky0","Mobile Food","10-06-2023","COA - TACOZ EL GORDO","22412", 
"(407) 724-8632","12435 METRIC BLVD, AUSTIN, TX 78758","9v6t0br6","Mobile Food","10-31-2023","COA - MC BURGER 58","23084", 
"(512) 985-1732","105 W BRAKER LN, AUSTIN, TX 78753","9v6sc4qb","Mobile Food","03-05-2024","COA - DELICIAS GONZALEZ GONZALEZ","23495", 
"(904) 442-3263","1111 E 6TH ST, AUSTIN, TX 78702","9v6s0j6t","Mobile Food","01-26-2023","COA-THE HAPPY GRILLED CHEESE","21766", 
"(512) 789-9788","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","02-27-2024","COA - FRUTERIA AGUIRRE","23547", 
"(512) 584-5865","1425 E RUNDBERG LN, AUSTIN, TX 78753","9v6s9m4m","Mobile Food","02-02-2024","COA - TACO HOT #2","22883", 
"NA","8001 BLUFF SPRINGS RD AUSTIN, TX 78744 ","9v67xhx4","Mobile Food","05-14-2024","COA - JAMIE'S BARBEQUE & MINI TACOS","23909", 
"NA","5511 CAMERON RD, AUSTIN, TX 78723","9v6s2wm2","Mobile Food","04-16-2024","COA - SANCHEZ TACOS #2","23792", 
"NA","2819 GUADALUPE ST, AUSTIN, TX 78705","9v6krg42","Mobile Food","10-26-2023","COA - HALAL HUB #2 ","125882", 
"NA","308 CONGRESS AVE, AUSTIN, TX 78701","9v6kpv9n","Mobile Food","10-31-2023","COA - OUT OF NOWHERE ATX","23081", 
"NA","1301 W OLTORF ST, AUSTIN, TX 78704","9v6kp1wp","Mobile Food","11-02-2023","COA - LOCAL PASTURES","23050", 
"(512) 822-8152","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","05-14-2024","COA - TAQUERIA SAMARA","23928", 
"(512) 621-2227","804 E BRAKER LN Unit A, AUSTIN, TX 78753","9v6sc659","Mobile Food","02-29-2024","COA - CULIACANAZO","23536", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","10-26-2023","COA - YAPA ARTISAN EMPANADAS","23080", 
"(512) 423-1243","4416 BURNET RD, AUSTIN, TX 78756","9v6krydq","Mobile Food","02-01-2024","COA - STINSON'S","23284", 
"NA","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","05-02-2024","COA - TAQUERIA LA CAPRICHOZA","23656", 
"NA","2157 GASTON PLACE DR, AUSTIN, TX 78723","9v6s3n56","Mobile Food","10-26-2023","COA - PUPUSERIA SANTA ELENA Y MAS","22865", 
"NA","5500 S CONGRESS AVE, AUSTIN, TX 78745","9v67z4fe","Mobile Food","03-02-2023","COA - BORN AND BRAISED","22105", 
"NA","7221 MCNEIL DR AUSTIN, TX 78727 ","9v6mpk37","Mobile Food","08-08-2023","COA - CHABA THAI KITCHEN","23175", 
"NA","611 E 7TH ST, AUSTIN, TX 78701","9v6kpvyw","Mobile Food","03-12-2024","COA - CREEK AND THE CRAVE, TH","23357", 
"NA","1122 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0vgc","Mobile Food","11-21-2023","COA - EL MANA AUTHENTIC MEXICAN FOOD","23100", 
"NA","7216 W SH 71, AUSTIN, TX 78735","9v6kh8ry","Mobile Food","02-23-2023","COA - LA CARBONERA","21943", 
"(512) 627-8353","1910 E CESAR CHAVEZ ST AUSTIN, TX 78702 ","9v6s0hps","Mobile Food","11-30-2023","COA - FREEWHEELIN' COFFEE","22671", 
"NA","1210 PARKER LN, AUSTIN, TX 78741","9v6s01df","Mobile Food","01-23-2024","COA - EL VALLECITO","23241", 
"NA","717 RED RIVER ST, AUSTIN, TX 78701","9v6kpyns","Mobile Food","05-30-2023","YALLA BURGERS & WINGS #4","22363", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-23-2024","COA - CANNONE #3","7980", 
"NA","7814 S 1ST ST, AUSTIN, TX 78745","9v67wwvm","Mobile Food","03-05-2024","COA - TACOS RICOS","23503", 
"NA","2730 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07rw","Mobile Food","06-01-2023","COA - HIPPIE ICE","22409", 
"NA",", Austin, TX ","9v6kpvcw","Mobile Food","11-08-2023","COA - MARIYAKIS #3","23025", 
"NA","1434 W WELLS BRANCH PKWY, AUSTIN, TX 78660","9v6t1tgj","Mobile Food","02-08-2024","COA - SENOR SNOW","23564", 
"NA","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","08-25-2023","COA - TACUBAYA","22617", 
"(737) 400-1138","8704 CROSS PARK DR, AUSTIN, TX 78754","9v6s97bd","Mobile Food","05-09-2024","COA - LA REYNA DE LA BIRRIA","23617", 
"NA","1906 E 12TH ST, AUSTIN, TX 78702","9v6s0r4y","Mobile Food","05-09-2024","COA - GOOD VIBRATIONS PIZZA COMPANY","23716", 
"(512) 522-9316","80 RAINEY ST, AUSTIN, TX 78701","9v6kpus8","Mobile Food","04-04-2024","COA - BANANARCHY #3","23810", 
"(562) 503-0868","318 E 5TH ST, AUSTIN, TX 78701","9v6kpvgg","Mobile Food","10-05-2023","COA - MONK'S MOMO","22987", 
"(737) 287-5304","915 W 24TH ST, AUSTIN, TX 78705","9v6kr9wr","Mobile Food","05-16-2024","COA - HALAL NAAN","23904", 
"NA","89 RAINEY ST, AUSTIN, TX 78701","9v6kputj","Mobile Food","10-31-2023","COA - BUMMER BURRITO","23056", 
"NA","121 PICKLE RD, AUSTIN, TX 78704","9v67zqew","Mobile Food","04-16-2024","COA - TOMMY WANT WINGY #4","23793", 
"NA","2717 MANOR RD, AUSTIN, TX 78722","9v6s23pz","Mobile Food","03-28-2024","COA - NADC BURGER","23710", 
"(512) 552-3316","1109 E 6TH ST, AUSTIN, TX 78702","9v6s0j6q","Mobile Food","03-07-2024","COA - SHAWARMA HALAL","23603", 
"(512) 954-8489","2307 W PARMER LN, AUSTIN, TX 78727","9v6t0c2e","Mobile Food","11-21-2023","COA - MOM'S SPECIAL COOKING","22625", 
"(512) 905-3686","10810 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc408","Mobile Food","02-08-2024","COA - J AND A MATAMOROS TACOS LLC","23527", 
"NA","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","12-05-2023","COA - EL SABROSON","22668", 
"NA","71 RAINEY ST, AUSTIN, TX 78701","9v6kpukf","Mobile Food","03-09-2024","COA - ZAZA HALAL","23064", 
"NA","4204 MANCHACA RD, AUSTIN, TX 78704","9v67yz3p","Mobile Food","11-28-2023","COA - SHORTWAVE DINER","22645", 
"(713) 557-3600","411 W 23RD ST, AUSTIN, TX 78705","9v6krc6n","Mobile Food","09-07-2023","COA - TRIPPY BUCK COFFEE","23189", 
"NA","1906 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hps","Mobile Food","01-30-2024","COA - LOS FAVORITOS MEXICAN RICAN","22985", 
"NA","1801 N LAMAR BLVD, AUSTIN, TX 78701","9v6kr8gt","Mobile Food","06-27-2023","COA - COOKIE RICH","22545", 
"NA","3201 N LAMAR AUSTIN, TX 78705 ","9v6kru0p","Mobile Food","12-04-2023","COA - TAQUERIA ANYELI","23152", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","04-19-2024","COA - PIG PEN BBQ","23092", 
"NA","801 RIO GRANDE ST, AUSTIN, TX 78701","9v6kpwvf","Mobile Food","08-10-2023","COA - THISTLE CAFE","22702", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","10-05-2023","COA - LIXI SABORES NICARAGUENSES","22450", 
"NA","3520 W SLAUGHTER LN, AUSTIN, TX 78749","9v67tqgm","Mobile Food","07-26-2023","COA - OHMGNOMES & THE ENCHANTED WAFFLE","21746", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","05-24-2023","COA - JP'S PANCAKE COMPANY","21493", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","11-07-2023","COA - REVOLUTION VEGAN KITCHEN","23076", 
"NA","8504 S CONGRESS AVE, AUSTIN, TX 78745","9v67wuf8","Mobile Food","01-17-2023","COA - PRESS KITCHEN","21752", 
"NA","7107 E RIVERSIDE DR, AUSTIN, TX 78741","9v6ebvs4","Mobile Food","06-13-2024","COA - NYAM SUNSHINE CUISINE","23696", 
"NA","1210 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpkz5","Mobile Food","02-06-2024","COA - TACO XPRESS","23295", 
"NA","2510 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp88f","Mobile Food","09-28-2023","COA - LA TAQUICARDIA #4","22891", 
"NA","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","08-25-2023","COA - TAQUERIA Y ANTOJITOS LAS 3 HERMANAS","21145", 
"(512) 356-9672","900 E 11TH ST, AUSTIN, TX 78702","9v6s0nd2","Mobile Food","07-25-2023","COA - FRANKLIN BBQ TC","22578", 
"NA","1606 E 6TH ST, AUSTIN, TX 78702","9v6s0jnp","Mobile Food","02-06-2024","COA - PUEBLO VIEJO MEXICAN FOOD LLC #3","23294", 
"NA","1309 W 45TH ST, AUSTIN, TX 78756","9v6krydy","Mobile Food","01-18-2024","COA - ERR-THING-NEW-AHL-LINS","22358", 
"(512) 696-5585","8600 MANCHACA RD, AUSTIN, TX 78748","9v67wpk1","Mobile Food","07-20-2023","COA - TACOS EL MONCHIS","22320", 
"(512) 547-0762","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","05-30-2024","COA - TAQUERIA MI ZACAZONAPA","23748", 
"(512) 739-6103","1207 S 1st St, Austin, TX 78704","9v6kpe1w","Mobile Food","06-04-2024","COA - REDDY DHABA","23863", 
"(512) 887-0076","1501 E 13TH ST, AUSTIN, TX 78702","9v6s0ppy","Mobile Food","03-13-2024","COA-SHAWARMA POINT #1","22524", 
"NA","5210 MANOR RD, AUSTIN, TX 78723","9v6s35fv","Mobile Food","11-07-2023","COA - TACOS SOFI'S ","164380", 
"NA","1620 E RIVERSIDE DR AUSTIN, TX 78741 ","9v6s01gp","Mobile Food","11-07-2023","COA - SAMAY","23075", 
"NA","1122 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0vgc","Mobile Food","11-06-2023","COA - LOS PAISANOS FOOD","22800", 
"NA","12917 E US 290 HWY MANOR, TX 78653 ","9v6ssuce","Mobile Food","01-10-2023","TC - PHAT GATSBY'S PIZZA","54180", 
"NA","701 W 6TH ST, AUSTIN, TX 78701","9v6kpwky","Mobile Food","11-16-2023","COA - WTF KITCHEN","22637", 
"NA","5615 BURNET RD, AUSTIN, TX 78756","9v6kxcu0","Mobile Food","10-05-2023","COA - PEACE OF MIND","22986", 
"NA","71 RAINEY ST, AUSTIN, TX 78701","9v6kpukf","Mobile Food","03-09-2024","COA - HOT DOGGY","7964", 
"NA","4509 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX 78721","9v6s31m1","Mobile Food","09-28-2023","COA - TACOS & MARISCOS CHELITO'S LLC","22851", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-23-2024","COA - CANNONE #5","7979", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT NP412","8070", 
"(512) 201-0615","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","02-29-2024","COA - TACONMADRE TAQUERIA","23540", 
"NA","1505 TOWN CREEK DR, AUSTIN, TX 78741","9v6s01m6","Mobile Food","02-06-2024","COA - MR. PIMENTO","23277", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT IRP5 ","273236", 
"NA","6300 BURLESON RD, AUSTIN, TX 78744","9v6eb6v9","Mobile Food","10-11-2023","LOPEZ CABRERA SABOR Y TRADICION","22071", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","06-02-2023","COA - UN MUNDO DE SABOR","22253", 
"NA","408 E RUNDBERG LN, AUSTIN, TX 78753","9v6s9nb5","Mobile Food","08-01-2023","COA - TAQUERIA VAMOS A LA CHILANGITA","23163", 
"NA","520 E 6TH ST, AUSTIN, TX 78701","9v6kpvvv","Mobile Food","03-02-2023","COA - LITTLE LUCY'S #3 ","798853", 
"NA","11444 MANCHACA RD, AUSTIN, TX 78748","9v67t9r8","Mobile Food","07-05-2023","COA - TROPICAL PALMS SHAVE ICE","22475", 
"(540) 850-8476","1710 MONTOPOLIS DR UNIT A AUSTIN, TX 78741 ","9v6ebwx5","Mobile Food","02-27-2024","COA - TAQUERIA MAY","23398", 
"(512) 774-0109","10616 MANCHACA RD, AUSTIN, TX 78748","9v67tg65","Mobile Food","05-23-2024","COA - AUSTHENTICO, LLC","23880", 
"NA","614 E ST JOHNS AVE, AUSTIN, TX 78752","9v6s8dj5","Mobile Food","05-11-2024","COA - TAQUERIA GARDENIA #2","23186", 
"(512) 701-5162","6303 CAMERON RD, AUSTIN, TX 78723","9v6s2zeg","Mobile Food","07-06-2023","TAQUERIA LA REINA #2","22557", 
"NA","13301 CENTER LAKE DR, AUSTIN, TX 78753","9v6scx8s","Mobile Food","02-09-2023","COA - SPRING-CHICK FOODS LLC ","384764", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","UNIT SC 101B","8081", 
"NA","1708 E 6TH ST AUSTIN, TX 78702 ","9v6s0jpf","Mobile Food","10-03-2023","COA - ALLDAY PIZZA #1","22808", 
"NA","9433 PARKFIELD DR, AUSTIN, TX 78758","9v6sb8mh","Mobile Food","06-13-2024","COA - EL RINCON DE LAS CATRACHAS","23988", 
"NA","510 W OLTORF ST, AUSTIN, TX 78704","9v6kp3q7","Mobile Food","06-29-2023","COA - BANH MI PHO WINGS","22593", 
"NA","2223 BURTON DR, AUSTIN, TX 78741","9v6ebp2v","Mobile Food","11-28-2023","COA - LA HAWAIIANA #2","22649", 
"NA","9341 W SH 71, AUSTIN, TX 78736","9v6khh9d","Mobile Food","03-19-2024","RICO EXPRESS 6","7955", 
"NA","1906 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hps","Mobile Food","03-19-2024","COA - TEXAS RIBS BBQ","23647", 
"NA","501 BASTROP HWY NB, AUSTIN, TX 78742","9v6s10gm","Mobile Food","04-13-2023","COA - WARUNG","22208", 
"(512) 569-4434","2700 S LAMAR BLVD AUSTIN, TX 78704 ","9v6knfn2","Mobile Food","03-05-2024","COA - GOURDOUGH'S #2","23608", 
"NA","2324 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07g8","Mobile Food","06-11-2024","COA - POSSUM PIZZA","23993", 
"(512) 361-2618","753 MONTOPOLIS DR, AUSTIN, TX 78741","9v6s0bk5","Mobile Food","05-09-2024","COA - CARNITAS QUERETANAS","23722", 
"NA","402 E 6TH ST, AUSTIN, TX 78701","9v6kpvux","Mobile Food","09-16-2023","COA - DESI HALAL FOOD","22120", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","12-19-2023","COA - PUPUSERIA LUPITA","23123", 
"NA","2800 W WILLIAM CANNON DR, AUSTIN, TX 78745","9v67y572","Mobile Food","07-06-2023","COA - SBK MIDDLE EASTERN FOOD #2","22556", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","01-02-2024","COA - TXSHAWARMA 2","23269", 
"(512) 905-4603","1309 W 45TH ST, AUSTIN, TX 78756","9v6krydy","Mobile Food","01-18-2024","COA - GYRO CENTER 2","23146", 
"(512) 803-3512","8711 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8wp3","Mobile Food","04-09-2024","COA - LAS PALMAS GESSNER","23809", 
"(415) 531-0900","1814 HARVEY ST, AUSTIN, TX 78702","9v6s28sy","Mobile Food","06-14-2024","COA - MISSION BURGER CO.","22843", 
"(512) 415-3933","6014 TECHNI CENTER DR Bldg 2 Ste 101, AUSTIN, TX 78721","9v6s1rxq","Mobile Food","03-26-2024","COA - TAQUICARDIA","23385", 
"NA","1301 TRINITY ST AUSTIN, TX 78701 ","9v6kpznw","Mobile Food","02-28-2023","COA - BURRO CHEESE KITCHEN #1","21949", 
"NA","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","08-17-2023","COA - MIGHTY FINE BURGERS FRIES SHAKES","22721", 
"NA","10410 N LAMAR BLVD AUSTIN, TX 78753 ","9v6sbcr4","Mobile Food","02-15-2024","COA - TAQUERIA MI LINDO VERACRUZ","23514", 
"(512) 619-3798","2008 TERI RD , AUSTIN, TX 78744","9v67zd4z","Mobile Food","07-11-2023","COA - TAQUERIA LOPEZ","22567", 
"NA","1611 W 35TH ST, AUSTIN, TX 78703","9v6krt76","Mobile Food","08-29-2023","COA - LUMI'S CREPES #2","7885", 
"NA","9113 BROWN LN, AUSTIN, TX 78754","9v6s9kt0","Mobile Food","10-24-2023","COA - DON CHELO TACOS Y MAS!","23028", 
"NA","5510 S IH 35 SVRD SB, AUSTIN, TX 78745","9v67z1zt","Mobile Food","04-25-2024","COA - MORALES ROASTED COR","23665", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","06-29-2023","COA - BULLDOG UNDERBITES","22591", 
"NA","1149 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0z4c","Mobile Food","01-30-2024","COA - TAQUERIA EL TORITO","22826", 
"NA","709 E SLAUGHTER LN, AUSTIN, TX 78744","9v67x48n","Mobile Food","07-14-2023","COA - JUICY FRUITS","22599", 
"NA","8540 RESEARCH BLVD AUSTIN, TX 78758 ","9v6s8qur","Mobile Food","12-19-2023","COA - EL CHAPIN VELOZ","22921", 
"NA","2310 BLISS SPILLAR RD, AUSTIN, TX 78652","9v67mnrc","Mobile Food","04-04-2024","COA - SWEET FRIDA #3","28783", 
"NA","10901 DOMAIN DR, AUSTIN, TX 78758","9v6sbjnp","Mobile Food","02-14-2024","COA - CORVARA CAFE ","838122", 
"NA","2501 E 5TH ST, AUSTIN, TX 78702","9v6s0knp","Mobile Food","10-31-2023","ROGUE RADISH","23055", 
"(512) 466-3177","9400 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s9n9n","Mobile Food","10-17-2023","COA - MESA JR.","22994", 
"(512) 905-3561","8704 CROSS PARK DR, AUSTIN, TX 78754","9v6s97bd","Mobile Food","01-02-2024","COA - LOS TACOS MTY LLC","23268", 
"NA","8545 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8ty0","Mobile Food","09-19-2023","COA - LA GORDITA LOCA NORTE","22790", 
"(917) 757-7341","10609 Metric Blvd., Ste. 108, Austin, Texas 78758","9v6sbe2j","Mobile Food","01-25-2024","BRICKER FOOD & BEVERAGE - SPICY BOYS 2","22500", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","06-13-2024","COA - CELIA JACOBS CHEESECAKE EXPERIENCE, THE","23985", 
"(512) 762-4949","4619 S CONGRESS AVE AUSTIN, TX 78745 ","9v67zhx0","Mobile Food","08-29-2023","COA - TACOS LAS AMAZONAS ESTILO JALISCO #2","22821", 
"NA","706 N LAMAR BLVD, AUSTIN, TX 78703","9v6kpx45","Mobile Food","03-22-2024","COA - ZIKI KITCHEN Z3","23008", 
"(786) 409-9169","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","05-16-2024","COA - NINJA CHILANGO PICNIC","23898", 
"NA","2250 E BEN WHITE BLVD SVRD WB AUSTIN, TX 78741 ","9v67zusx","Mobile Food","10-12-2023","COA - MI TEXANITA","22795", 
"NA","1106 E 11TH ST, AUSTIN, TX 78702","9v6s0nk6","Mobile Food","03-08-2024","GYRO HOUSE","21665", 
"NA","2027 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp4x0","Mobile Food","01-25-2024","COA - CM SMOKE HOUSE","23332", 
"NA","105 W BRAKER LN, AUSTIN, TX 78753","9v6sc4qb","Mobile Food","10-11-2023","COA - TAQUERIA SAN JOSE","22425", 
"(737) 207-2577","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","04-02-2024","COA - TAQUERIA MI BENDICION","23754", 
"NA","5401 MANCHACA RD, AUSTIN, TX 78745","9v67ysg5","Mobile Food","03-05-2024","COA - TRES MARIAS","23496", 
"NA","12030 N LAMAR BLVD, AUSTIN, TX 78753","9v6schy5","Mobile Food","05-25-2023","COA - HALAL MO SALAH","22356", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT YB121","8030", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","02-29-2024","COA - EGGMAN LLC","23390", 
"NA","1800 S CONGRESS AVE, AUSTIN, TX 78704","9v6kpd5e","Mobile Food","03-05-2024","COA - BIG VINNY'S","23607", 
"NA","1611 DUNGAN LN, AUSTIN, TX 78754","9v6s9mhy","Mobile Food","03-07-2023","TC - LA BABY BAR ","641307", 
"(512) 247-0868","7612 BRODIE LN, AUSTIN, TX 78745","9v67ven2","Mobile Food","04-16-2024","COA - TACO BROTHER","23704", 
